name_only,img_urls,img_files,address_only
Gift and Luggage,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/externals/c838f56d99d8dc315edf87db33cdd432.jpg?itok=mXGCc_OE,sitesdefaultfilesstyleslocationteaserpublicexternalsc838f56d99d8dc315edf87db33cdd432.jpg,"797 Eighth Ave, NY"
Gift Expressions,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Gift_Expressions_1_DannyPerez.jpg?itok=pNRA8sb-,sitesdefaultfilesstyleslocationteaserpublicshoppinggiftexpressions1dannyperez.jpg,"730 Eighth Ave, NY"
Gifts and Luggage,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Gifts_%2526_Luggage_1630_Broadway_1_DannyPerez.jpg?itok=hj_G7deY,sitesdefaultfilesstyleslocationteaserpublicshoppinggifts2526luggage1630broadway1dannyperez.jpg,"1634 Broadway, NY"
Gifts and Luggage,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping-Gifts-Luggage-1634-Broadway.jpg?itok=j0HGkpNi,sitesdefaultfilesstyleslocationteaserpublicshoppinggiftsluggage1634broadway.jpg,"1634 Broadway, NY"
Gifts and Luggage,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/externals/c838f56d99d8dc315edf87db33cdd432.jpg?itok=mXGCc_OE,sitesdefaultfilesstyleslocationteaserpublicexternalsc838f56d99d8dc315edf87db33cdd432.jpg,"797 Eighth Ave, NY"
Gifts and Luggage,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Gifts_%2526_Luggage_799_Eighth_Ave_1_DannyPerez.jpg?itok=MxCz6UbL,sitesdefaultfilesstyleslocationteaserpublicshoppinggifts2526luggage799eighthave1dannyperez.jpg,"799 Eighth Ave, NY"
Gifts I Love NY Luggage,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Gifts_ILOVENY_Luggage_685_Eighth_Ave_1_DannyPerez.jpg?itok=cpTF7AkR,sitesdefaultfilesstyleslocationteaserpublicshoppinggiftsilovenyluggage685eighthave1dannyperez.jpg,"685 Eighth Ave, NY"
Gifts On The Square,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Gifts_On_The_Square_1_DannyPerez.jpg?itok=hunoTxiD,sitesdefaultfilesstyleslocationteaserpublicshoppinggiftsonthesquare1dannyperez.jpg,"736 Seventh Ave, NY"
GNC,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/GNC_1-compressor.jpg?itok=iPXNgGCS,sitesdefaultfilesstyleslocationteaserpublicgnc1compressor.jpg,"750 Seventh Ave, NY"
Grand Slam,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_GrandSlam.jpg?itok=gJviy_R9,sitesdefaultfilesstyleslocationteaserpublicshoppinggrandslam.jpg,"1557 Broadway, NY"
